,date,TeS,LeW,Integration,RMSE,Lat,Lon,Elevation,#Samples,Std-Int,Std-LeW,Std-TeS,Std-RMSE,Position,Time Delay,elevation of avg coord
0,7/18/10,-1521.762763,5.182295992,2919379.684,4547.071591,72.58260088,-38.45031127,3249.086207,174,368847.2902,1.67434034,1149.744944,978.2928703,2423.143678,0.004893562,3252
1,8/6/10,-1059.933501,6.619392899,3370267.098,4878.616057,72.58168529,-38.44667863,3249.377049,122,210249.9015,2.14020937,1584.407897,882.5972869,924.4016393,0.004889448,3252
2,9/13/10,-1192.675179,6.660785176,3420978.081,4712.516678,72.5888334,-38.55441809,3244.699187,123,320330.0744,2.497856838,1104.970765,1060.310435,2407.130081,0.004795892,3247
3,10/29/10,-1551.818013,5.766753558,3225844.597,4786.163482,72.58386911,-38.32849148,3254.932773,119,269464.814,1.93977286,825.8046283,1132.575105,995.2605042,0.004877134,3257
4,11/8/10,-1243.927928,5.581411493,3267311.669,4912.717781,72.57201227,-38.25554139,3257.618644,118,240613.5726,1.896165031,1238.563377,1096.841936,2338.449153,0.004891552,3260
5,11/27/10,-1082.898435,6.376887893,3317527.37,4734.854796,72.57799508,-38.59827587,3242.739496,119,212204.7781,2.109995919,1594.479608,944.8679616,992.9495798,0.004875686,3245
6,12/7/10,-1166.145329,8.238781704,3639301.244,4783.176264,72.58716547,-38.52030813,3246.05042,119,194628.0161,2.043105666,1215.649621,945.2479679,2342.588235,0.004821742,3249
7,12/25/10,-1110.495142,7.734600804,3476399.351,4700.647957,72.58232234,-38.44672046,3248.714286,168,202970.5499,2.238574138,1408.778994,1011.212541,914.1011905,0.004803191,3252
8,1/22/11,-1241.080383,5.912398528,3361893.975,4947.783492,72.59265758,-38.26170617,3257.689076,119,193075.5587,2.114294299,1547.360951,971.3060793,944.6386555,0.004819697,3260
9,2/2/11,-1227.93287,5.696883336,3402233.956,4691.29801,72.57935007,-38.35133975,3253.411765,136,186266.7502,2.010309566,1578.854779,1157.156706,2402.316176,0.00487586,3257
10,2/20/11,-1413.988907,4.809932348,3124598.22,4783.86847,72.57880598,-38.55982385,3244.186992,123,190406.4909,1.242342926,904.8283743,1036.751685,1071.455285,0.004889967,3247
11,3/2/11,-1225.67846,5.962122508,3381672.832,4946.566502,72.58417238,-38.43192877,3249.696,125,205940.7415,2.203043926,1681.43273,1018.900247,2392.472,0.004878892,3252
12,3/20/11,-1209.215284,5.86368619,3262363.911,4706.239861,72.582148,-38.44675652,3248.619048,168,188099.5686,1.843284008,1079.159676,941.2121889,1193.660714,0.00485705,3252
13,3/31/11,-1290.937462,8.087597975,3601501.69,4891.240346,72.59113639,-38.68030219,3239.39823,113,236129.5805,2.327879975,1523.237209,1282.514446,2387.123894,0.004804443,3242
14,4/17/11,-1374.759058,7.447968878,3537142.864,4845.661265,72.59393446,-38.22410614,3259.154545,110,181616.2138,2.142325115,1676.114334,884.8325212,921.7909091,0.004795553,3261
15,4/28/11,-1151.191062,8.197450023,3533374.735,4686.878075,72.58312826,-38.43674859,3249.680723,166,234249.7061,2.177504079,2104.940308,1125.282823,2400.73494,0.004819594,3252
16,5/16/11,-1193.213244,7.479066048,3464264.05,4630.673795,72.58386088,-38.48635911,3247.621849,119,184205.307,2.373621153,1568.862967,1033.726673,965.0504202,0.00484178,3250
17,5/26/11,-1388.451621,7.003348404,3475448.631,4802.60116,72.57695354,-38.35608708,3253.081967,122,213542.4912,2.082580713,930.5027517,938.8629407,2375.655738,0.004889144,3257
18,6/14/11,-1273.36662,7.83128626,3542318.993,4731.277746,72.58354445,-38.51342207,3245.485915,142,180683.2227,2.210081644,2315.142946,936.6848666,1010.957746,0.004892737,3249
19,6/23/11,-1233.071519,8.097073084,3622497.268,4847.912184,72.59302979,-38.64024651,3240.892857,112,208415.0951,1.918973667,1644.489417,1117.037488,2352.741071,0.004858765,3244
20,7/17/11,-1428.532223,7.251172068,3419053.632,4630.839388,72.58405391,-38.42843651,3250.092879,323,253646.5822,2.276714799,1601.483612,983.4229767,1675.365325,0.004814748,3253
21,8/9/11,-1523.624897,6.623771896,3305716.769,4696.860713,72.58675016,-38.39619348,3251.785124,121,226620.2013,2.098618466,1195.047818,931.0476556,900,0.004796579,3254
22,8/18/11,-1374.777697,5.269789301,3141009.275,4745.521627,72.57644538,-38.29284213,3255.925,120,242285.8738,1.750846512,689.9906823,992.8039521,2374.741667,0.004838806,3259
23,9/7/11,-1407.16466,7.666288721,3445024.723,4893.162303,72.57311731,-38.66895708,3240.098214,112,232238.8862,2.303402177,743.9073564,1107.907494,926.2053571,0.004864757,3243
24,9/16/11,-1120.568888,6.403108543,3424023.942,4860.062777,72.5927174,-38.56322027,3244.363636,121,240374.6931,2.316528507,1545.657552,1038.690526,2403.190083,0.004893908,3246
25,10/10/11,-1211.06449,6.821360497,3408152.839,4767.025682,72.58417803,-38.43518218,3249.641337,329,265778.4592,2.358207318,1317.911097,1042.337989,1736.285714,0.004862288,3252
26,11/2/11,-1359.075177,7.675270537,3420995.098,4717.746758,72.5890596,-38.37262263,3252.852459,122,217808.6716,2.23998062,777.6914578,943.456891,963.5901639,0.004816299,3255
27,11/11/11,-1506.133735,8.518408384,3625737.991,4971.3224,72.57342082,-38.19220114,3260.203704,108,200957.666,2.361875196,954.4856502,896.0662084,2349.268519,0.004797811,3262
28,12/1/11,-1380.979212,8.076440047,3437102.433,4586.256851,72.57597183,-38.62580575,3241.808333,120,181511.11,2.059351021,1925.694152,1083.215241,799.275,0.004809835,3244
29,12/10/11,-934.1208414,8.765181991,3644056.144,4648.299697,72.5843232,-38.45974894,3248.424,125,192176.0404,2.344255172,1864.886093,1103.203446,2397.96,0.00486183,3251
30,12/29/11,-1306.579823,8.608011386,3584398.276,4728.37354,72.58281918,-38.45072773,3248.817647,170,194619.0342,2.437451137,1490.972716,1002.044215,1044.211765,0.004880119,3252
31,1/25/12,-1085.362854,7.422745955,3447990.145,4843.898755,72.58932128,-38.30454413,3255.948718,117,200999.1279,2.032177114,1024.518106,1033.148012,1120.777778,0.004872321,3258
32,2/5/12,-1509.567453,7.898273015,3530095.686,4770.909266,72.58120443,-38.35488939,3253.211679,137,194549.6071,2.342254279,1630.704945,1006.167816,2364.751825,0.004819028,3256
33,2/23/12,-1135.460855,8.034691936,3524531.746,4627.862564,72.57515155,-38.53293952,3245.338983,118,185777.2764,2.200205211,1393.658928,946.963727,858.6016949,0.004801998,3248
34,3/4/12,-1189.771365,9.461425198,3709792.942,4759.629286,72.58197075,-38.42900166,3249.743802,121,209719.9993,2.065521794,1780.347468,1073.418381,2382.190083,0.004807844,3253
35,3/23/12,-1353.276844,8.756438044,3502338.773,4886.263767,72.58238128,-38.47140139,3247.206667,150,203906.2676,1.958209664,2380.834584,853.9730435,891.6866667,0.00482661,3250
36,4/2/12,-1299.79127,9.207779998,3759111.373,4696.529809,72.59136896,-38.71336585,3237.911765,102,197183.4766,1.970339786,741.4729007,930.9002603,2397.254902,0.004879659,3240
37,4/19/12,-1416.467037,9.330188572,3633524.736,5062.152687,72.59564072,-38.19811409,3260.081818,110,211740.5458,1.892019263,1142.197845,916.3052673,1117.436364,0.00488864,3262
38,4/30/12,-1306.545392,9.47126576,3723196.368,4736.276268,72.58141162,-38.41223879,3250.658065,155,208233.3799,2.093006509,1308.79068,1019.662999,2389.851613,0.0048733,3253
39,5/18/12,-1320.327522,7.541654022,3414872.7,4779.017246,72.58560436,-38.47526037,3248.025,120,203066.6716,2.212499355,795.515196,1056.011657,1019.058333,0.004850789,3250
40,5/28/12,-1222.459797,7.954720334,3525514.609,4752.527546,72.58292108,-38.37633629,3252.136364,110,183359.8896,2.090035718,1909.577811,1100.842343,2392.109091,0.004804597,3255
41,6/16/12,-1375.365513,7.312833114,3368475.842,4629.2178,72.57952296,-38.55117492,3244.028777,139,202372.3964,2.054637516,751.7647402,861.04487,840.4460432,0.004797288,3247
42,6/26/12,-1151.970734,6.82272238,3400591.443,4623.156774,72.59005065,-38.62516177,3241.608696,115,233099.0585,2.015377363,1957.053862,855.8871042,2411.208696,0.004826293,3244
43,7/14/12,-1173.822499,5.821422216,3316206.618,4678.680752,72.58469189,-38.40736906,3251.013158,152,209287.5699,1.894988374,1479.795926,1028.578672,965.2171053,0.004846494,3253
44,7/24/12,-1036.989907,5.429969359,3301343.316,4835.932481,72.58480307,-38.45393579,3248.971264,174,239027.7359,1.803346251,1148.591106,948.0962161,2347.143678,0.004888684,3251
45,8/11/12,-1355.405874,4.59503321,2621260.27,4341.815214,72.58430681,-38.41357677,3250.944444,126,273355.2749,0.591669812,1402.648619,758.0783244,1082.5,0.004889383,3253
46,8/21/12,-1541.966674,4.463373485,2797455.195,4524.769376,72.57834037,-38.31804655,3254.772358,123,218929.6638,0.600732095,550.7044799,867.5431857,2351,0.004855041,3258
47,9/9/12,-1522.200799,4.465923136,2639367.441,4384.28286,72.57459542,-38.66759168,3240.127119,118,226097.8123,0.440284408,988.5745555,891.0528419,868.5,0.004829033,3243
48,9/19/12,-1421.654932,4.699490513,2735913.724,4582.269086,72.58794618,-38.5716096,3243.97561,123,297892.0744,0.858586067,1363.656718,923.9790551,2310,0.004798356,3246
49,10/12/12,-1346.543889,4.73976425,3071112.642,4700.418105,72.58465846,-38.44617062,3249.16763,346,268581.4637,1.292872099,937.3581794,980.3119779,1606.150289,0.004823413,3252
50,11/4/12,-1384.30952,4.562390303,3092428.854,4756.946248,72.59029979,-38.30961033,3255.731707,123,193089.4467,1.00687399,568.6066991,828.2005808,1097,0.004865904,3257
51,11/13/12,-1111.662561,4.930180657,3183843.033,4643.827795,72.57728635,-38.29390346,3255.833333,120,232929.6224,1.509604935,1528.007552,948.4740418,2403.8,0.004890503,3259
52,12/3/12,-1232.503956,4.457599552,3019327.831,4652.854382,72.5787467,-38.57237239,3243.66129,124,220055.1897,0.791264668,1460.363051,968.5736495,1008.5,0.00488067,3246
53,12/12/12,-992.4439918,4.950840897,3363138.659,5010.282605,72.58824458,-38.56155908,3244.382114,123,189243.1204,1.522110412,1292.114736,988.6317908,2395.268293,0.004833809,3246
54,12/30/12,-1150.688751,4.78159237,3268679.208,4610.84899,72.60428234,-37.97730417,3267.87013,77,193192.6112,1.25861136,1002.412956,828.9201834,1156,0.004815533,3268
55,1/10/13,-1226.306391,4.504093419,3243740.702,4747.289523,72.59705124,-38.78673815,3234.807692,104,216979.6034,0.876484503,945.2649502,946.0085309,2328.5,0.004803176,3236
56,1/28/13,-1484.665191,4.446074589,2938612.78,4597.275134,72.59153612,-38.23721362,3258.737288,118,217807.1924,0.515125457,773.3683391,857.653722,959.5,0.004813333,3261
57,2/6/13,-1119.327546,4.883234451,3327137.69,4920.989698,72.57230779,-38.19164061,3260.353982,113,228096.3781,1.402214138,1175.024945,999.1089567,2393.389381,0.004863189,3262
58,2/26/13,-1250.752704,4.728869129,3109896.127,4840.514647,72.58030223,-38.53054023,3245.452381,126,202517.971,1.011502089,1383.684824,1206.847879,1032.5,0.004881393,3248
59,3/7/13,-1323.694832,4.963081987,3261609.754,4756.647281,72.58304884,-38.45693654,3248.619048,126,218230.9285,1.372004219,971.1581308,797.6525027,2369.301587,0.004882467,3251
60,3/27/13,-1221.442321,5.163769871,3237290.148,4656.680488,72.58370916,-38.46416084,3247.739645,169,247961.8155,1.557750423,1117.886905,969.0137435,1004.47929,0.004865434,3251
61,4/5/13,-1445.321661,5.830227211,3367248.071,4840.365263,72.59439389,-38.70449793,3238.330357,112,257876.8346,2.170716392,1273.009808,968.3443806,2326.473214,0.004815118,3240
62,4/23/13,-1260.099689,5.049048864,3226014.788,4949.287753,72.59248312,-38.19425769,3260.318584,113,200760.5603,1.535497721,921.7651255,931.6882781,958.2920354,0.004803306,3262
63,5/3/13,-1188.252362,5.161097705,3340560.251,4681.770337,72.58322901,-38.43495667,3249.718563,167,200856.9541,1.517849334,992.6603378,862.4646446,2377.766467,0.004813255,3252
64,5/31/13,-1445.958576,5.424671997,3383101.629,4959.975759,72.5805648,-38.38192173,3251.943548,124,244835.1471,1.798995108,1016.519925,1004.182476,2377.919355,0.00487912,3255
